Feature ID,Importance Score,Full Taxonomy,Kingdom,Phylum,Class,Order,Family,Genus,Species,Mean Abundance in Control,Mean Abundance in OSCC
51054a661a143a4653dbd3035e81d0da,0.13673469387755102,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,150.33333333333334,0.0
0127c6f484cda454d2812574fb7f25cf,0.11734693877551021,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,,0.0,80.33333333333333
465e7a35c2e228ea64404d3a9922c72e,0.11224489795918367,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__,Bacteria,Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,,557.6666666666666,117.0
8c0eeb409a2ffc81a4c134359e7e5d97,0.09183673469387756,d__Bacteria,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0.0,292.3333333333333
ba6633424139134a8f2ef4cc642a8e5c,0.07653061224489796,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,,44.0,353.6666666666667
302c1010e86af4222e028ef253ecb253,0.07142857142857142,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,0.0,91.0
86cd7ae61246ee4c268ef6a4e5f431f0,0.06887755102040816,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__,Bacteria,Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,,0.0,105.33333333333333
419a249e192564b96a26ce475956e958,0.0663265306122449,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,Bacteria,Firmicutes,Bacilli,Lactobacillales,Unassigned,Unassigned,Unassigned,64.0,297.6666666666667
f662f77840121b3d51dc129643a2ba23,0.061224489795918366,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,,0.0,6.666666666666667
49bac318bca7405ce1eab8b0ebd990b6,0.05102040816326531,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,,0.0,82.0
32f5ade31fbd193d11e45c15bb45be03,0.02040816326530612,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,61.0,1377.6666666666667
bcfdf729f5e87850ddce553a2e266772,0.02040816326530612,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,,0.0,0.6666666666666666
fe3d6056d0f475b0a6ba53b75050e9f7,0.02040816326530612,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,,50.666666666666664,0.0
e17781002d561e15e53bb787548d81a6,0.015306122448979591,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Actinobacillus;s__,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Actinobacillus,,0.0,372.6666666666667
e98236535d746bd87266b9b8617b0c5a,0.01020408163265306,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,6599.666666666667,0.0
5b3c9a66e37f79b13442ef09e9b3ca98,0.01020408163265306,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae;g__Defluviitaleaceae_UCG-011;s__,Bacteria,Firmicutes,Clostridia,Lachnospirales,Defluviitaleaceae,Defluviitaleaceae_UCG-011,,0.0,8.0
da3066591428bbf02bfac6df2d1ad33c,0.01020408163265306,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella;s__,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,,0.0,1.6666666666666667
0f49509da0b4f6aaa2f3b629fce7a0f6,0.01020408163265306,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Amnipila;s__,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Amnipila,,1.0,0.0
4ead658ffe00448dccdf01bd5a7bd9d9,0.01020408163265306,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;s__,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,,0.6666666666666666,0.0
196a411ddcb9e82dd0e737f225de62b4,0.007653061224489796,d__Bacteria,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,9.666666666666666,0.0
fe7ca688c24e28cf736b0b9af170d540,0.006122448979591837,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,,0.0,1.3333333333333333
b96351358cf52b1b0ed151b99b12888a,0.004081632653061225,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,,0.3333333333333333,0.0
fe4705ff5090b77505147b7ad3f9d325,0.0010204081632653051,d__Bacteria,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0.0,0.6666666666666666
0ba8a03976b187e0535da505cc668bdb,0.0,d__Bacteria,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,45.0,0.0
6f53fe6475eb6ffcab3f64a3c6ae3d0b,0.0,d__Eukaryota;p__Ascomycota,Eukaryota,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1.3333333333333333,0.0
2a4757fd49d75f58f808c80e897df171,0.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Haemophilus,,0.6666666666666666,0.0
91f59a94e0b6e21c0ae957d1a2d2103b,0.0,d__Bacteria,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0.0,0.6666666666666666
71b0536154788153b9650a9a0067ed4c,0.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Bergeyella;s__,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Bergeyella,,0.0,22.666666666666668
af6c7ded52e3043a891c4a5bc44ade44,0.0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,,0.0,0.3333333333333333
4f3ee99290cebd38caa92e5bb52df556,0.0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,,1.6666666666666667,0.0
1af38f9e583a06c3d305ae85e5fad578,0.0,d__Bacteria,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,88.66666666666667,0.0
938d0d85dc40e5d6a6c003de796333e8,0.0,d__Eukaryota,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0.0,0.6666666666666666
d1da3b77ddb7ba02b5073cd840aed256,0.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Bergeyella;s__,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Bergeyella,,0.6666666666666666,0.0
5737cf29a0db6932bf4b4fe20e25222b,0.0,d__Eukaryota;p__Basidiomycota,Eukaryota,Basidiomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,5.0,0.0
13a91bf7a3f80a08a7c6fdfc51c4635e,0.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,,7.666666666666667,0.0
